REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1941,ON,Corn for silage,0.36,22490,2676000,295000,119000,9588
1941,ON,Flaxseed,67,600,2600,10700,4350,175
1941,ON,Mixed grains,26,1670,781000,1156000,467800,20280
1941,ON,Oats,31,1260,1019900,2004000,811000,31743
1941,ON,"Peas, dry",69,1050,17450,41100,16650,1199
1941,ON,"Rye, all",27,1070,34000,78700,31800,910
1941,ON,Soybeans,0,1340,5900,10900,4400,0
1941,ON,Sugar beets,0.72,24000,292300,30107,12200,2104
1941,ON,Tame hay,1.26,3320,4989000,3713000,1503000,63028
1941,ON,"Wheat, all",36,1750,432900,610800,247100,15602
1941,ON,"Wheat, spring",36,1235,19900,39800,16100,717
1941,ON,"Wheat, winter remaining",36,1790,413000,,,14885
1941,PP,Barley,18,1075,2079000,4779000,1934000,37914
1941,PP,Corn for silage,0.54,10630,203000,47500,19100,1104
1941,PP,Flaxseed,49,405,168800,1030000,417000,8304
1941,PP,Mixed grains,17,915,24300,65600,26600,409
1941,PP,Oats,22,835,2769000,8204000,3320000,60835
1941,PP,"Peas, dry",71,1065,3200,7400,3000,227
1941,PP,"Rye, all",16,725,246500,844300,341000,3955
1941,PP,Sugar beets,0.93,25800,353500,33892,13700,3301
1941,PP,Tame hay,0.73,3810,2209000,1445000,580000,16023
1941,PP,"Wheat, all",22,940,8055000,21216000,8586000,174600
1941,PEI,Barley,34,1185,6400,13400,5400,215
1941,PEI,Corn for silage,0,0,0,0,0,0
1941,PEI,Mixed grains,24,1370,18600,33700,13600,446
1941,PEI,Oats,31,1030,53300,128000,51800,1659
1941,PEI,Tame hay,1.13,3600,331000,228000,92000,3741
1941,PEI,"Wheat, all",35,1150,4550,9800,3950,160
1941,QU,Barley,33,1385,66300,118000,47800,2192
1941,QU,"Beans, all dry (white and coloured)",105,1085,1900,4300,1750,199
1941,QU,Buckwheat,34,1100,30200,68000,27500,1026
1941,QU,Corn for grain,0,0,0,0,0,0
1941,QU,Corn for silage,0.66,20740,504000,60000,24300,3336
1941,QU,Flaxseed,0,0,0,0,0,0
1941,QU,Mixed grains,32,1460,101200,171000,69200,3273
1941,QU,Oats,36,1065,682400,1586000,641800,24779
1941,QU,"Peas, dry",109,1080,5450,12500,5050,593
1941,QU,"Rye, all",34,1075,1400,3200,1300,47
1941,QU,Tame hay,1.87,2380,3612000,3756000,1520000,67677
1941,QU,"Wheat, all",34,1210,10300,21000,8500,348
1941,SK,Barley,18,865,581000,1659000,671000,10680
1941,SK,Corn for silage,0.58,882,30000,8500,3400,175
1941,SK,Flaxseed,49,375,110500,725000,293000,5438
1941,SK,Mixed grains,17,740,5400,18100,7300,92
1941,SK,Oats,22,685,1118000,4026000,1629000,24650
1941,SK,"Peas, dry",0,0,0,0,0,0
1941,SK,"Rye, all",16,635,135500,527000,213000,2187
1941,SK,"Rye, fall remaining",16,665,104000,,,1678
1941,SK,"Rye, spring",16,555,31500,141000,57000,509
1941,SK,Tame hay,0.74,3350,569000,430000,170000,4235
1941,SK,"Wheat, all",22,810,4000000,12195000,4935000,86730
1942,AB,Barley,20,2095,1633000,1925000,779000,33000
1942,AB,Corn for silage,0.55,10000,10000,2400,1000,55
1942,AB,Flaxseed,78,755,64000,210000,85000,4990
1942,AB,Mixed grains,18,1865,42300,56100,22700,766
1942,AB,Oats,23,2030,2699000,3284000,1329000,61250
1942,AB,"Peas, dry",66,1270,8250,16000,6500,547
1942,AB,"Rye, all",18,1290,112100,215000,87000,1980
1942,AB,"Rye, fall remaining",18,1300,74000,,,1305
1942,AB,"Rye, spring",18,1270,38100,75000,30000,675
1942,AB,Sugar beets,1.05,28000,310500,27511,11100,3262
1942,AB,Tame hay,0.84,4220,1140000,662000,270000,9520
1942,AB,"Wheat, all",27,1805,4654000,6370000,2578000,126540
1942,BC,Barley,28,2000,18600,22900,9300,529
1942,BC,Corn for silage,0.55,23890,43000,4400,1800,235
1942,BC,Flaxseed,77,850,1150,3300,1350,88
1942,BC,Mixed grains,25,2045,2350,2800,1150,59
1942,BC,Oats,29,1980,67800,84400,34200,1979
1942,BC,"Peas, dry",59,1560,4050,6400,2600,237
1942,BC,"Rye, all",26,1400,700,1200,500,18
1942,BC,Tame hay,1.34,5470,640000,288000,117000,8570
1942,BC,"Wheat, all",32,1920,70200,90500,36600,2270
1942,CA,Barley,21,2000,5574550,6879100,2784050,117695
1942,CA,"Beans, all dry (white and coloured)",58,1345,35850,65900,26700,2072
1942,CA,Buckwheat,33,1160,96950,206200,83500,3178
1942,CA,Corn for grain,31,2530,373100,364000,147500,11646
1942,CA,Corn for silage,0.42,21570,3566000,408800,165300,15116
1942,CA,Flaxseed,79,630,392950,1535800,621450,30862
1942,CA,Mixed grains,26,2095,1256700,1481200,599450,32309
1942,CA,Oats,25,1805,9893650,13532400,5476600,249339
1942,CA,"Peas, dry",77,1235,37900,75700,30650,2908
1942,CA,"Rye, all",19,1160,614500,1308500,529800,11429
1942,CA,"Rye, fall remaining",19,1125,454500,,,8554
1942,CA,"Rye, spring",18,1270,160000,311000,125800,2875
1942,CA,Soybeans,64,1410,23700,41500,16800,1509
1942,CA,Sugar beets,0.93,25800,649100,62381,25200,6053
1942,CA,Tame hay,1.17,3920,16625000,10474000,4243000,194940
1942,CA,"Wheat, all",28,1735,15134600,21560200,8725400,427441
1942,MA,Barley,21,1970,1572000,1972000,798000,33212
1942,MA,Buckwheat,33,1125,1350,3000,1200,44
1942,MA,Corn for grain,26,470,19100,100000,40500,495
1942,MA,Corn for silage,0.5,6750,77000,28200,11400,382
1942,MA,Flaxseed,79,550,44700,200000,81000,3538
1942,MA,Mixed grains,20,1760,8100,11400,4600,160
1942,MA,Oats,24,1805,1060000,1453000,588000,25419
1942,MA,"Peas, dry",64,1700,1700,2500,1000,108
1942,MA,"Rye, all",20,1230,82300,165000,66800,1616
1942,MA,"Rye, fall remaining",20,1215,62000,,,1216
1942,MA,"Rye, spring",20,1285,20300,39000,15800,400
1942,MA,Sugar beets,0.89,20500,116700,14131,5700,1042
1942,MA,Tame hay,0.65,4530,724000,393000,160000,4732
1942,MA,"Wheat, all",29,1850,1443000,1930000,781000,42400
1942,MP,Barley,38,1585,25150,39200,15850,951
1942,MP,Mixed grains,28,1640,28350,42900,17300,797
1942,MP,Oats,39,1270,198050,386000,156200,7668
1942,MP,Tame hay,1.37,3610,1799000,1230000,498000,24612
1942,MP,"Wheat, all",39,1315,6700,12600,5100,259
1942,NB,Barley,39,1660,11450,17000,6900,448
1942,NB,Buckwheat,41,1180,8750,18300,7400,363
1942,NB,Corn for silage,0,0,0,0,0,0
1942,NB,Mixed grains,36,1540,1850,3000,1200,66
1942,NB,Oats,39,1335,104200,193000,78100,4053
1942,NB,Tame hay,1.38,3580,856000,590000,239000,11800
1942,NB,"Wheat, all",42,1485,2150,3600,1450,91
1942,NS,Barley,35,1565,6800,10800,4350,235
1942,NS,Corn for silage,0,0,0,0,0,0
1942,NS,Mixed grains,32,1890,3400,4500,1800,108
1942,NS,Oats,39,1450,39850,68000,27500,1550
1942,NS,"Rye, all",0,0,0,0,0,0
1942,NS,Tame hay,1.46,3800,624000,405000,164000,9116
1942,NS,"Wheat, all",37,1410,1200,2100,850,44
1942,ON,Barley,28,1855,256900,342000,138400,7315
1942,ON,"Beans, all dry (white and coloured)",55,1360,34100,62000,25100,1878
1942,ON,Buckwheat,31,1130,56250,123000,49800,1731
1942,ON,Corn for grain,32,3310,354000,264000,107000,11151
1942,ON,Corn for silage,0.38,23460,2768000,292000,118000,10556
1942,ON,Flaxseed,72,680,6200,22500,9100,446
1942,ON,Mixed grains,25,2225,1009100,1121000,453700,25212
1942,ON,Oats,32,1640,1302400,1964000,794800,41381
1942,ON,"Peas, dry",73,1135,17000,37000,14950,1244
1942,ON,"Rye, all",27,1195,37000,76300,30900,1005
1942,ON,Soybeans,64,1410,23700,41500,16800,1509
1942,ON,Sugar beets,0.79,26400,221900,20739,8400,1749
1942,ON,Tame hay,1.04,4570,6793000,3676000,1488000,70341
1942,ON,"Wheat, all",32,2045,649900,785400,318100,20775
1942,ON,"Wheat, spring",32,1385,20900,37400,15100,667
1942,ON,"Wheat, winter remaining",32,2075,629000,,,20108
1942,PP,Barley,20,2020,5208000,6365000,2576000,106692
1942,PP,Corn for silage,0.56,6650,107000,39800,16100,598
1942,PP,Flaxseed,79,630,385600,1510000,611000,30328
1942,PP,Mixed grains,18,1815,61300,83500,33800,1134
1942,PP,Oats,23,1970,7599000,9528000,3856000,173819
1942,PP,"Peas, dry",66,1325,9950,18500,7500,655
1942,PP,"Rye, all",18,1155,575000,1227000,496800,10346
1942,PP,Sugar beets,1.01,25400,427200,41642,16800,4304
1942,PP,Tame hay,0.74,4340,2691000,1524000,620000,19995
1942,PP,"Wheat, all",28,1725,14398000,20653000,8358000,403790
1942,PEI,Barley,39,1500,6900,11400,4600,268
1942,PEI,Corn for silage,0,0,0,0,0,0
1942,PEI,Mixed grains,27,1615,23100,35400,14300,623
1942,PEI,Oats,38,1065,54000,125000,50600,2065
1942,PEI,Tame hay,1.16,3360,319000,235000,95000,3696
1942,PEI,"Wheat, all",37,1195,3350,6900,2800,124
1942,QU,Barley,34,1480,65900,110000,44500,2208
1942,QU,"Beans, all dry (white and coloured)",111,1095,1750,3900,1600,194
1942,QU,Buckwheat,34,1220,30600,61900,25100,1040
1942,QU,Corn for grain,0,0,0,0,0,0
1942,QU,Corn for silage,0.58,22040,648000,72600,29400,3727
1942,QU,Flaxseed,0,0,0,0,0,0
1942,QU,Mixed grains,33,1665,155600,231000,93500,5107
1942,QU,Oats,34,1145,726400,1570000,635400,24492
1942,QU,"Peas, dry",112,1230,6900,13800,5600,772
1942,QU,"Rye, all",33,1125,1800,4000,1600,60
1942,QU,Tame hay,1.52,3090,4702000,3756000,1520000,71422
1942,QU,"Wheat, all",35,1290,9800,18700,7600,347
1942,SK,Barley,20,2005,2003000,2468000,999000,40480
1942,SK,Corn for silage,0.81,541,20000,9200,3700,161
1942,SK,Flaxseed,79,620,276900,1100000,445000,21800
1942,SK,Mixed grains,19,1675,10900,16000,6500,208
1942,SK,Oats,23,1980,3840000,4791000,1939000,87150
1942,SK,"Peas, dry",0,0,0,0,0,0
1942,SK,"Rye, all",18,1110,380600,847000,343000,6750
1942,SK,"Rye, fall remaining",18,1060,279000,,,4950
1942,SK,"Rye, spring",18,1270,101600,197000,80000,1800
1942,SK,Tame hay,0.69,4350,827000,469000,190000,5743
1942,SK,"Wheat, all",28,1660,8301000,12353000,4999000,234850
1943,AB,Barley,30,1345,1219000,2239000,906000,36400
1943,AB,Corn for silage,0.89,10000,7000,1700,700,62
1943,AB,Flaxseed,84,375,83800,550000,223000,7029
1943,AB,Mixed grains,24,1360,33100,60000,24300,810
1943,AB,Oats,36,1335,1943000,3600000,1457000,69300
1943,AB,"Peas, dry",73,945,10750,28200,11400,790
1943,AB,"Rye, all",40,755,30900,102200,41000,1210
1943,AB,"Rye, fall remaining",40,865,19000,,,751
1943,AB,"Rye, spring",39,625,11900,47400,19000,459
1943,AB,Sugar beets,1.14,22800,271200,29306,11900,3088
1943,AB,Sunflower seed,0,250,50,500,200,0
1943,AB,Tame hay,0.95,3770,1245000,813000,330000,11886
1943,AB,"Wheat, all",40,1155,2253000,4829000,1954000,91080
1943,BC,Barley,32,1860,20300,27000,10900,652
1943,BC,Corn for silage,0.67,25000,45000,4500,1800,300
1943,BC,Flaxseed,80,885,1950,5400,2200,156
1943,BC,Mixed grains,30,2040,2450,3000,1200,74
1943,BC,Oats,36,1910,64500,83500,33800,2342
1943,BC,"Peas, dry",69,1360,4350,7900,3200,302
1943,BC,"Rye, all",34,1250,500,1000,400,17
1943,BC,Tame hay,2.24,4500,518000,285000,115000,11595
1943,BC,"Wheat, all",40,1750,49500,70000,28300,1966
1943,CA,Barley,30,1375,4536150,8137800,3293500,137094
1943,CA,"Beans, all dry (white and coloured)",80,1135,32900,71600,28950,2648
1943,CA,Buckwheat,37,1180,116200,243300,98500,4251
1943,CA,Canola (rapeseed),0,770,1000,3200,1300,0
1943,CA,Corn for grain,34,2135,203300,236000,95200,6926
1943,CA,Corn for silage,0.44,20120,3270000,401500,162500,14538
1943,CA,Flaxseed,85,390,468200,2983500,1207550,39636
1943,CA,Mixed grains,31,1210,613650,1254200,507700,18894
1943,CA,Oats,37,1195,7118650,14734900,5963900,265610
1943,CA,"Peas, dry",80,1040,36500,86600,35050,2908
1943,CA,"Rye, all",38,775,162000,515000,208900,6144
1943,CA,"Rye, fall remaining",38,805,106300,,,3992
1943,CA,"Rye, spring",39,730,55700,188400,76500,2152
1943,CA,Soybeans,69,1140,14800,35600,13000,1026
1943,CA,Sugar beets,1.16,20100,430400,52719,21400,4980
1943,CA,Sunflower seed,0,490,2450,12400,5000,0
1943,CA,Tame hay,1.22,4100,17409000,10503700,4250000,212738
1943,CA,"Wheat, all",41,1140,7711450,16733900,6771950,319721
1943,MA,Barley,30,1560,1343000,2127000,861000,40722
1943,MA,Buckwheat,38,865,1300,3600,1500,50
1943,MA,Canola (rapeseed),0,835,500,1500,600,0
1943,MA,Corn for grain,30,1315,21300,40000,16200,630
1943,MA,Corn for silage,0.61,8940,76000,21000,8500,462
1943,MA,Flaxseed,85,620,51600,205000,83000,4385
1943,MA,Mixed grains,34,1545,8200,13000,5300,282
1943,MA,Oats,38,1470,921000,1546000,626000,34626
1943,MA,"Peas, dry",76,1220,1950,4000,1600,148
1943,MA,"Rye, all",40,915,18800,50200,20500,754
1943,MA,"Rye, fall remaining",40,875,14000,,,564
1943,MA,"Rye, spring",40,1065,4800,11000,4500,190
1943,MA,Sugar beets,1.13,17400,99000,14126,5700,1116
1943,MA,Sunflower seed,0,765,1300,4300,1700,0
1943,MA,Tame hay,0.71,4370,656000,373000,150000,4651
1943,MA,"Wheat, all",43,1665,1062000,1575000,637000,45240
1943,MP,Barley,43,1500,23550,38800,15700,1014
1943,MP,Mixed grains,31,1850,38300,51200,20700,1181
1943,MP,Oats,43,1310,208050,392400,158800,9008
1943,MP,Tame hay,1.62,3580,1798000,1242000,502000,29188
1943,MP,"Wheat, all",41,1225,4350,8800,3550,178
1943,NB,Barley,45,1610,11100,17000,6900,505
1943,NB,Buckwheat,46,1345,9950,18300,7400,458
1943,NB,Corn for silage,0,0,0,0,0,0
1943,NB,Mixed grains,37,1540,1850,3000,1200,68
1943,NB,Oats,44,1335,108500,201000,81350,4784
1943,NB,Tame hay,1.76,3370,811000,596000,241000,14304
1943,NB,"Wheat, all",46,1305,1500,2900,1150,69
1943,NS,Barley,41,1185,4850,10100,4100,200
1943,NS,Corn for silage,0,0,0,0,0,0
1943,NS,Mixed grains,38,1210,3150,6400,2600,119
1943,NS,Oats,46,1065,29950,69400,28100,1380
1943,NS,"Rye, all",0,0,0,0,0,0
1943,NS,Tame hay,1.52,4260,712000,413000,167000,10794
1943,NS,"Wheat, all",36,1070,750,1700,700,27
1943,ON,Barley,32,1235,133700,267000,108100,4299
1943,ON,"Beans, all dry (white and coloured)",79,1145,31500,68000,27500,2485
1943,ON,Buckwheat,34,1210,74450,152000,61500,2565
1943,ON,Corn for grain,35,2305,182000,196000,79000,6296
1943,ON,Corn for silage,0.39,22340,2614000,289000,117000,10084
1943,ON,Flaxseed,73,615,5750,23100,9350,418
1943,ON,Mixed grains,28,1150,403500,867000,350900,11465
1943,ON,Oats,38,905,522300,1423000,575900,19643
1943,ON,"Peas, dry",76,1075,14500,33300,13500,1098
1943,ON,"Rye, all",33,1035,26100,62200,25200,872
1943,ON,Soybeans,66,1140,14800,32200,13000,981
1943,ON,Sugar beets,1.29,15800,60200,9287,3800,776
1943,ON,Tame hay,1.14,4730,6611000,3453000,1397000,75067
1943,ON,"Wheat, all",40,1455,360500,610800,247700,14455
1943,ON,"Wheat, spring",40,1130,15500,33800,13700,619
1943,ON,"Wheat, winter remaining",40,1475,345000,,,13836
1943,PP,Barley,30,1385,4304000,7682000,3109000,129122
1943,PP,Canola (rapeseed),0,770,1000,3200,1300,0
1943,PP,Corn for silage,0.65,8390,104000,30600,12400,671
1943,PP,Flaxseed,85,385,460500,2955000,1196000,39062
1943,PP,Mixed grains,27,1370,48400,87000,35300,1312
1943,PP,Oats,37,1265,5779000,11266000,4560000,211656
1943,PP,"Peas, dry",74,975,12700,32200,13000,938
1943,PP,"Rye, all",39,735,133700,447400,181500,5198
1943,PP,Sugar beets,1.14,21000,370200,43432,17600,4204
1943,PP,Tame hay,0.86,4020,2691000,1655000,670000,23164
1943,PP,"Wheat, all",42,1125,7288000,16026000,6485000,302760
1943,PEI,Barley,41,1615,7600,11700,4700,309
1943,PEI,Corn for silage,0,0,0,0,0,0
1943,PEI,Mixed grains,30,1970,33300,41800,16900,994
1943,PEI,Oats,41,1410,69600,122000,49350,2844
1943,PEI,Tame hay,1.49,2930,275000,233000,94000,4090
1943,PEI,"Wheat, all",39,1235,2100,4200,1700,82
1943,QU,Barley,37,1095,54600,123000,49800,2007
1943,QU,"Beans, all dry (white and coloured)",116,965,1400,3600,1450,163
1943,QU,Buckwheat,39,1085,30500,69400,28100,1178
1943,QU,Corn for grain,0,0,0,0,0,0
1943,QU,Corn for silage,0.69,16200,507000,77400,31300,3483
1943,QU,Flaxseed,0,0,0,0,0,0
1943,QU,Mixed grains,40,1215,121000,246000,99600,4862
1943,QU,Oats,42,855,544800,1570000,635400,22961
1943,QU,"Peas, dry",115,925,4950,13200,5350,570
1943,QU,"Rye, all",34,945,1700,4400,1800,57
1943,QU,Tame hay,1.27,3700,5791000,3868700,1566000,73724
1943,QU,"Wheat, all",40,1230,9100,18300,7400,362
1943,SK,Barley,30,1300,1742000,3316000,1342000,52000
1943,SK,Canola (rapeseed),0,715,500,1700,700,0
1943,SK,Corn for silage,0.7,656,21000,7900,3200,147
1943,SK,Flaxseed,85,365,325100,2200000,890000,27648
1943,SK,Mixed grains,31,1245,7100,14000,5700,220
1943,SK,Oats,37,1175,2915000,6120000,2477000,107730
1943,SK,"Peas, dry",0,0,0,0,0,0
1943,SK,"Rye, all",38,700,84000,295000,120000,3234
1943,SK,"Rye, fall remaining",38,670,45000,,,1731
1943,SK,"Rye, spring",39,735,39000,130000,53000,1503
1943,SK,Sunflower seed,0,355,1100,7600,3100,0
1943,SK,Tame hay,0.84,4160,790000,469000,190000,6627
1943,SK,"Wheat, all",42,1020,3973000,9622000,3894000,166440
1944,AB,Barley,34,1430,1097000,1895000,767000,37800
1944,AB,Corn for silage,0.58,15000,9000,1600,600,52
1944,AB,Flaxseed,99,410,25400,153000,62000,2510
1944,AB,Mixed grains,27,1615,25800,39500,16000,695
1944,AB,Oats,33,1395,1727000,3057000,1237000,57120
1944,AB,"Peas, dry",87,775,6900,22000,8900,600
1944,AB,"Rye, all",39,800,44700,138500,56000,1738
1944,AB,"Rye, fall remaining",39,940,31000,,,1208
1944,AB,"Rye, spring",39,595,13700,56400,23000,530
1944,AB,Sugar beets,1.2,26200,306400,28800,11700,3688
1944,AB,Sunflower seed,0,0,0,0,0,0
1944,AB,Tame hay,1.06,3590,1256000,867000,350000,13341
1944,AB,"Wheat, all",45,1045,2703000,6400000,2590000,122139
1944,BC,Barley,37,1850,17200,23000,9300,631
1944,BC,Corn for silage,0.7,24210,46000,4700,1900,321
1944,BC,Flaxseed,102,815,650,2000,800,66
1944,BC,Mixed grains,30,2000,2100,2600,1050,64
1944,BC,Oats,33,1845,65200,87200,35300,2157
1944,BC,"Peas, dry",77,1445,5050,8600,3500,391
1944,BC,"Rye, all",36,1250,500,900,400,18
1944,BC,Tame hay,1.98,4650,581000,309000,125000,11524
1944,BC,"Wheat, all",44,1750,68900,97300,39400,3011
1944,CA,Barley,35,1440,4078800,7008300,2836600,140874
1944,CA,"Beans, all dry (white and coloured)",93,945,32900,85900,34800,3067
1944,CA,Buckwheat,38,1180,102750,215500,87100,3920
1944,CA,Canola (rapeseed),0,650,2800,10800,4300,0
1944,CA,Corn for grain,39,2710,303800,276000,112100,11830
1944,CA,Corn for silage,0.43,21340,3448000,398900,161600,14755
1944,CA,Flaxseed,99,460,225700,1216600,492350,22378
1944,CA,Mixed grains,29,1935,999150,1274400,515700,29015
1944,CA,Oats,35,1345,7310150,13411800,5427600,254424
1944,CA,"Peas, dry",91,1020,26950,65300,26400,2454
1944,CA,"Rye, all",38,820,215900,649200,262900,8127
1944,CA,"Rye, fall remaining",37,850,144900,,,5425
1944,CA,"Rye, spring",38,770,71000,227900,92200,2702
1944,CA,Soybeans,74,1270,18400,36200,14500,1362
1944,CA,Sugar beets,1.22,22900,513700,55021,22400,6283
1944,CA,Sunflower seed,0,555,3900,17300,7000,0
1944,CA,Tame hay,1.4,3520,15351000,10786500,4364000,214654
1944,CA,"Wheat, all",46,1230,11291450,22677300,9177800,514052
1944,MA,Barley,35,1390,1091000,1942000,786000,38076
1944,MA,Buckwheat,48,835,1250,3800,1500,60
1944,MA,Canola (rapeseed),0,790,1900,6000,2400,0
1944,MA,Corn for grain,37,1390,16800,30000,12100,627
1944,MA,Corn for silage,0.66,8970,61000,16700,6800,402
1944,MA,Flaxseed,100,665,39900,148000,60000,3985
1944,MA,Mixed grains,32,1405,8300,14700,5900,265
1944,MA,Oats,34,1440,862000,1480000,599000,29627
1944,MA,"Peas, dry",77,1085,3150,7200,2900,242
1944,MA,"Rye, all",38,880,16000,44500,18200,600
1944,MA,"Rye, fall remaining",37,855,12000,,,444
1944,MA,"Rye, spring",39,950,4000,10500,4200,156
1944,MA,Sugar beets,1.04,19800,73400,9048,3700,766
1944,MA,Sunflower seed,0,565,2600,11300,4600,0
1944,MA,Tame hay,0.81,4320,605000,353000,140000,4921
1944,MA,"Wheat, all",46,1470,1369000,2300000,931000,63378
1944,MP,Barley,43,1620,20600,31300,12700,877
1944,MP,Mixed grains,30,1760,35950,50600,20450,1070
1944,MP,Oats,42,1355,209050,380600,154000,8681
1944,MP,Tame hay,1.65,3430,1749000,1262000,510000,28793
1944,MP,"Wheat, all",42,1395,4050,7200,2900,170
1944,NB,Barley,45,1670,9950,14700,5950,447
1944,NB,Buckwheat,46,1350,8250,15100,6100,378
1944,NB,Corn for silage,0,0,0,0,0,0
1944,NB,Mixed grains,30,1760,2200,3100,1250,67
1944,NB,Oats,43,1260,99250,195000,78900,4311
1944,NB,Tame hay,1.73,3140,757000,596000,241000,13110
1944,NB,"Wheat, all",45,1305,1500,2800,1150,68
1944,NS,Barley,42,1555,5050,8000,3250,213
1944,NS,Corn for silage,0,0,0,0,0,0
1944,NS,Mixed grains,42,1675,3350,5000,2000,140
1944,NS,Oats,45,1485,40050,66600,26950,1792
1944,NS,"Rye, all",0,0,0,0,0,0
1944,NS,Tame hay,1.7,3370,590000,433000,175000,10030
1944,NS,"Wheat, all",41,1365,750,1400,550,31
1944,ON,Barley,32,1820,230300,313000,126700,7405
1944,ON,"Beans, all dry (white and coloured)",92,940,31400,82500,33400,2888
1944,ON,Buckwheat,36,1270,67800,132000,53400,2430
1944,ON,Corn for grain,39,2870,287000,246000,100000,11203
1944,ON,Corn for silage,0.39,22610,2758000,301000,122000,10640
1944,ON,Flaxseed,94,635,6050,23600,9550,571
1944,ON,Mixed grains,28,2090,801100,948000,383600,22371
1944,ON,Oats,36,1480,985700,1643000,664900,35152
1944,ON,"Peas, dry",101,1125,5750,12600,5100,583
1944,ON,"Rye, all",36,1200,30900,63700,25800,1107
1944,ON,Soybeans,74,1270,18400,35800,14500,1354
1944,ON,Sugar beets,1.37,20200,119100,14473,5900,1634
1944,ON,Tame hay,1.17,3870,5404000,3453000,1397000,63374
1944,ON,"Wheat, all",41,2065,549000,656200,265800,22386
1944,ON,"Wheat, spring",41,1375,19000,34200,13800,775
1944,ON,"Wheat, winter remaining",41,2105,530000,,,21611
1944,PP,Barley,35,1420,3756000,6535000,2645000,129876
1944,PP,Canola (rapeseed),0,650,2800,10800,4300,0
1944,PP,Corn for silage,0.64,8700,87000,24800,10000,558
1944,PP,Flaxseed,99,455,219000,1191000,482000,21741
1944,PP,Mixed grains,28,1635,43800,66200,26800,1240
1944,PP,Oats,34,1375,5411000,9731000,3938000,181907
1944,PP,"Peas, dry",82,875,11700,33200,13400,962
1944,PP,"Rye, all",38,780,183000,581000,235200,6946
1944,PP,Sugar beets,1.17,24700,379800,37848,15400,4454
1944,PP,Tame hay,0.96,3790,2612000,1706000,690000,25118
1944,PP,"Wheat, all",46,1205,10661000,21900000,8863000,488142
1944,PEI,Barley,39,1600,5600,8600,3500,217
1944,PEI,Corn for silage,0,0,0,0,0,0
1944,PEI,Mixed grains,28,1765,30400,42500,17200,863
1944,PEI,Oats,37,1450,69750,119000,48150,2578
1944,PEI,Tame hay,1.41,4280,402000,233000,94000,5653
1944,PEI,"Wheat, all",39,1500,1800,3000,1200,71
1944,QU,Barley,38,1275,54700,106000,42900,2085
1944,QU,"Beans, all dry (white and coloured)",119,1070,1500,3400,1400,179
1944,QU,Buckwheat,41,975,25450,64600,26100,1052
1944,QU,Corn for grain,0,0,0,0,0,0
1944,QU,Corn for silage,0.58,20110,557000,68400,27700,3236
1944,QU,Flaxseed,0,0,0,0,0,0
1944,QU,Mixed grains,37,1385,116200,207000,83800,4270
1944,QU,Oats,42,1005,639200,1570000,635400,26527
1944,QU,"Peas, dry",116,1010,4450,10900,4400,518
1944,QU,"Rye, all",37,1000,1500,3600,1500,56
1944,QU,Sugar beets,1.32,13400,14800,2700,1100,195
1944,QU,Tame hay,1.72,3050,5005000,4056500,1642000,85845
1944,QU,"Wheat, all",40,1270,8500,16600,6700,343
1944,SK,Barley,34,1435,1568000,2698000,1092000,54000
1944,SK,Canola (rapeseed),0,475,900,4800,1900,0
1944,SK,Corn for silage,0.61,654,17000,6500,2600,104
1944,SK,Flaxseed,99,425,153700,890000,360000,15246
1944,SK,Mixed grains,29,1980,9700,12000,4900,280
1944,SK,Oats,34,1345,2822000,5194000,2102000,95160
1944,SK,"Peas, dry",73,1030,1650,4000,1600,120
1944,SK,"Rye, all",38,760,122300,398000,161000,4608
1944,SK,"Rye, fall remaining",38,720,69000,,,2592
1944,SK,"Rye, spring",38,820,53300,161000,65000,2016
1944,SK,Sunflower seed,0,540,1300,6000,2400,0
1944,SK,Tame hay,0.91,3760,751000,486000,200000,6856
1944,SK,"Wheat, all",46,1235,6589000,13200000,5342000,302625
1945,AB,Barley,29,975,771000,1958000,792000,22656
1945,AB,Corn for silage,0.56,12500,5000,1100,400,28
1945,AB,Flaxseed,98,390,15500,98000,40000,1519
1945,AB,Mixed grains,31,1110,17000,37900,15300,525
1945,AB,Oats,32,870,1095000,3114000,1260000,34790
1945,AB,"Peas, dry",94,670,6700,24700,10000,630
1945,AB,"Rye, all",63,710,39800,136500,56000,2514
1945,AB,"Rye, fall remaining",63,910,31000,,,1950
1945,AB,"Rye, spring",64,400,8800,53500,22000,564
1945,AB,Sugar beets,1.17,26700,329000,30344,12300,3833
1945,AB,Sunflower seed,0,0,0,0,0,0
1945,AB,Tame hay,1.35,3090,1080000,861000,350000,14527
1945,AB,"Wheat, all",60,865,2387000,6800000,2752000,142074
1945,BC,Barley,34,1700,13100,19000,7700,445
1945,BC,Corn for silage,0.71,23890,43000,4500,1800,306
1945,BC,Flaxseed,112,815,650,2000,800,73
1945,BC,Mixed grains,33,1800,1350,1800,750,45
1945,BC,Oats,34,1720,63300,91000,36800,2134
1945,BC,"Peas, dry",87,1305,3650,6900,2800,317
1945,BC,"Rye, all",48,1500,600,1100,400,29
1945,BC,Tame hay,2.11,5100,638000,309000,125000,13467
1945,BC,"Wheat, all",61,1615,69200,106000,42900,4223
1945,CA,Barley,31,1155,3239450,6944200,2810300,99264
